[2016-03-06 20:23:57,535: INFO/Worker-1] 1887724457: finished strategy "conference"
[2016-03-06 20:23:57,744: INFO/Worker-1] 1862859034 author: set 10 publications
[2016-03-06 20:23:58,576: INFO/Worker-1] found 22 author in the search set
[2016-03-06 20:23:58,576: INFO/Worker-1] authors: 22
[2016-03-06 20:24:09,080: INFO/Worker-1] 1862859034: finished strategy "author"
[2016-03-06 20:24:09,095: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:24:09,096: INFO/Worker-1] 1862859034: finished strategy "journal"
[2016-03-06 20:24:09,097: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:24:09,098: INFO/Worker-1] 1862859034: finished strategy "conference"
[2016-03-06 20:24:09,442: INFO/Worker-1] 1824940753 author: set 16 publications
[2016-03-06 20:24:10,249: INFO/Worker-1] found 22 author in the search set
[2016-03-06 20:24:10,249: INFO/Worker-1] authors: 22
[2016-03-06 20:24:15,335: INFO/Worker-1] 1824940753: finished strategy "author"
[2016-03-06 20:24:15,348: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:24:15,348: INFO/Worker-1] 1824940753: finished strategy "journal"
[2016-03-06 20:24:15,350: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:24:15,350: INFO/Worker-1] 1824940753: finished strategy "conference"
[2016-03-06 20:24:15,618: INFO/Worker-1] 234413770 author: set 13 publications
[2016-03-06 20:24:16,750: INFO/Worker-1] found 25 author in the search set
[2016-03-06 20:24:16,751: INFO/Worker-1] authors: 25
[2016-03-06 20:24:17,635: INFO/Worker-1] 234413770: finished strategy "author"
[2016-03-06 20:24:17,662: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:24:17,662: INFO/Worker-1] 234413770: finished strategy "journal"
[2016-03-06 20:24:17,664: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:24:17,664: INFO/Worker-1] 234413770: finished strategy "conference"
[2016-03-06 20:24:18,716: INFO/Worker-1] 1843137586 author: set 46 publications
[2016-03-06 20:24:19,410: INFO/Worker-1] found 9 author in the search set
[2016-03-06 20:24:19,410: INFO/Worker-1] authors: 9
[2016-03-06 20:24:24,446: INFO/Worker-1] 1843137586: finished strategy "author"
[2016-03-06 20:24:24,475: INFO/Worker-1] found 1 journals in search set
[2016-03-06 20:24:26,035: INFO/Worker-1] 1843137586: finished strategy "journal"
[2016-03-06 20:24:26,038: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:24:26,038: INFO/Worker-1] 1843137586: finished strategy "conference"
[2016-03-06 20:24:26,708: INFO/Worker-1] 1837673799 author: set 36 publications
[2016-03-06 20:24:29,833: INFO/Worker-1] found 89 author in the search set
[2016-03-06 20:24:29,833: INFO/Worker-1] authors: 89
[2016-03-06 20:26:16,879: INFO/Worker-1] 1837673799: finished strategy "author"
[2016-03-06 20:26:16,903: INFO/Worker-1] found 16 journals in search set
[2016-03-06 20:26:26,660: INFO/Worker-1] 1837673799: finished strategy "journal"
[2016-03-06 20:26:26,662: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:26:26,663: INFO/Worker-1] 1837673799: finished strategy "conference"
[2016-03-06 20:26:26,878: INFO/Worker-1] 922411746 author: set 10 publications
