[2016-03-07 09:01:40,844: INFO/Worker-2] 1890762594: finished strategy "author-ordered-minyear"
[2016-03-07 09:01:40,845: INFO/Worker-2] found 8 journals in search set
[2016-03-07 09:01:45,685: INFO/Worker-2] 1890762594: finished strategy "journal-ordered"
[2016-03-07 09:01:45,687: INFO/Worker-2] found 8 journals in search set
[2016-03-07 09:01:49,016: INFO/Worker-2] 1890762594: finished strategy "journal-ordered-minyear"
[2016-03-07 09:01:49,032: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:49,032: INFO/Worker-2] 1890762594: finished strategy "conference-ordered"
[2016-03-07 09:01:49,032: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:49,032: INFO/Worker-2] 1890762594: finished strategy "conference-ordered-minyear"
[2016-03-07 09:01:49,033: INFO/Worker-2] found 26 author in the search set
[2016-03-07 09:01:49,034: INFO/Worker-2] authors: 26
[2016-03-07 09:01:49,159: INFO/Worker-2] authors: 0
[2016-03-07 09:01:49,160: INFO/Worker-2] found 8 journals in search set
[2016-03-07 09:01:52,472: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:52,472: INFO/Worker-2] 1890762594: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 09:01:52,734: INFO/Worker-2] 1541155934 author: set 10 publications
[2016-03-07 09:01:52,895: INFO/Worker-2] found 6 author in the search set
[2016-03-07 09:01:52,896: INFO/Worker-2] authors: 6
[2016-03-07 09:01:55,631: INFO/Worker-2] 1541155934: finished strategy "author-ordered"
[2016-03-07 09:01:55,632: INFO/Worker-2] found 6 author in the search set
[2016-03-07 09:01:55,632: INFO/Worker-2] authors: 6
[2016-03-07 09:01:55,666: INFO/Worker-2] 1541155934: finished strategy "author-ordered-minyear"
[2016-03-07 09:01:55,667: INFO/Worker-2] found 0 journals in search set
[2016-03-07 09:01:55,667: INFO/Worker-2] 1541155934: finished strategy "journal-ordered"
[2016-03-07 09:01:55,668: INFO/Worker-2] found 0 journals in search set
[2016-03-07 09:01:55,668: INFO/Worker-2] 1541155934: finished strategy "journal-ordered-minyear"
[2016-03-07 09:01:55,668: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:55,669: INFO/Worker-2] 1541155934: finished strategy "conference-ordered"
[2016-03-07 09:01:55,669: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:55,669: INFO/Worker-2] 1541155934: finished strategy "conference-ordered-minyear"
[2016-03-07 09:01:55,670: INFO/Worker-2] found 6 author in the search set
[2016-03-07 09:01:55,670: INFO/Worker-2] authors: 6
[2016-03-07 09:01:55,724: INFO/Worker-2] authors: 1
[2016-03-07 09:01:56,069: INFO/Worker-2] found 2 journals in search set
[2016-03-07 09:01:56,742: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 09:01:56,743: INFO/Worker-2] 1541155934: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 09:01:57,313: INFO/Worker-2] 1539414096 author: set 42 publications
[2016-03-07 09:01:57,746: INFO/Worker-2] found 6 author in the search set
[2016-03-07 09:01:57,746: INFO/Worker-2] authors: 6
[2016-03-07 09:01:59,269: INFO/Worker-2] 1539414096: finished strategy "author-ordered"
[2016-03-07 09:01:59,270: INFO/Worker-2] found 6 author in the search set
[2016-03-07 09:01:59,270: INFO/Worker-2] authors: 6
